Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
44	5.96540594472751	8.26622121648217	13.8827078510004	11.0627632195336	6.49830910836765	4.86186371114927	7.25234655915021	12.990233185784	6.31117527275372	13.5380139443226	2.65514962547793	8.81588815683462
45	0	0	0	0	0	0	0	4.99624353299385	0	0	1.32757481273897	0
46	0	2.36177749042348	0	0	1.08305151806128	0	0	0	0	0.322333665341014	0	0
47	0	0	1.98324397871434	0	0	0	0	1.99849741319754	0	0	0	0
48	0	2.36177749042348	5.28865060990492	1.84379386992227	3.24915455418383	0	0	0	1.05186254545895	0	0	0
49	0	3.54266623563521	0.661081326238115	0	1.08305151806128	0	0.906543319893776	0	2.10372509091791	0	0	0
50	0	2.36177749042348	0.661081326238115	0	0	0	0.906543319893776	0	0	0	0	0
51	0	0	0	0	0	0	0	0	0	0	0	0
52	0.852200849246787	0	1.98324397871434	0	0	0.972372742229854	0	0.999248706598769	0	0	0	0
53	0	0	0	0	0	0	0	0	0	0	0	0
54	0	0	0	0	0	0	0	0	0	0	0	0
55	0	0	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0	0	0
57	0	0	0	0	0	0	0	0	0	0	0	0
58	0	0	0	0	0	0	0	0	0	0.322333665341014	0	0
59	0	0	0	0	0	0	0	0	0	0	0	0
60	0.852200849246787	11.8088874521174	3.96648795742869	7.3751754796891	1.08305151806128	3.88949096891942	2.71962995968133	1.99849741319754	3.15558763637686	6.76900697216129	3.9827244382169	6.61191611762597
61	0	1.18088874521174	4.6275692836668	0.921896934961137	0	0.972372742229854	1.81308663978755	0.999248706598769	2.10372509091791	0	0	0
62	0	0	0	0.921896934961137	0	0	0	0	0	0	0	0
63	0.852200849246787	0	1.32216265247623	0.921896934961137	3.24915455418383	1.94474548445971	1.81308663978755	0	1.05186254545895	2.2563356573871	0	2.20397203920866
64	0	2.36177749042348	0	0	0	0	0	0	0	0	0	0
65	0	0	0	0	0	0	0.906543319893776	0	0	0	0	0
66	0	2.36177749042348	1.98324397871434	0.921896934961137	0	1.94474548445971	0.906543319893776	2.99774611979631	1.05186254545895	0.322333665341014	5.31029925095586	0
67	2.55660254774036	5.90444372605869	8.59405724109549	3.68758773984455	14.0796697347966	2.91711822668956	0.906543319893776	1.99849741319754	8.41490036367162	0.644667330682027	0	2.20397203920866
68	0	0	0	0	0	0	0	0	0	0	0	0
69	0	1.18088874521174	0	0	0	0	0	0	0	0.322333665341014	0	0
70	2.55660254774036	0	0.661081326238115	0	0	1.94474548445971	0	1.99849741319754	0	1.28933466136405	0	2.20397203920866
