"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"17268",7.55691238281266,2.26089456837428,0.670197296722969,3.3734761083479,0.000742254875842565,0.0171832003757554
"17630",6.99207903959796,-1.63739174138043,0.524580823528851,-3.12133358281324,0.00180033971155141,0.0307041293188265
"17724",7.40394753098098,-1.71961334962078,0.533592497221953,-3.22270901216494,0.00126984483086348,0.0239344758780573
"17762",16570.755294729,-1.74234434239688,0.513049682828696,-3.39605383398831,0.000683649121964515,0.0164104281482312
"18677",26501.4855021468,-1.54163617986854,0.408024887854157,-3.77828957438395,0.000157909200502263,0.00664654180295888
"18906",11.8889049269063,1.27233800830807,0.402498147628829,3.16110276731355,0.00157173035080667,0.0279888904778264
"18909",4.91835741629914,2.33507314512813,0.694702139776902,3.36125802905692,0.000775883059389607,0.0175409849395856
"19453",5.92363801118375,1.48521350884625,0.499140168767091,2.97554394893688,0.00292469439486923,0.0423166720257641
"19784",13.0207732462399,-1.12832202211511,0.368531127668618,-3.0616735939052,0.00220103323026811,0.0348999447128128
"21007",1983.1559898197,-1.56700181160422,0.465924298878506,-3.36321118124993,0.000770414039774945,0.0175409849395856
"22344",32.1366387211249,-0.797710237172264,0.273484304288263,-2.91684102035869,0.00353595950279668,0.0488735188922837
"22763",72.7019277915917,-1.06574158318673,0.226811512391907,-4.69879845139978,2.61696551698618e-06,0.000288489293896334
"22806",14.7405726609849,1.46025135998696,0.480172089177877,3.04110004079396,0.00235715498161538,0.0363787585495974
"23831",7.47357129915982,2.55367477542619,0.582724530932451,4.38230182508347,1.1743196839392e-05,0.00092146120645473
"24108",66.7219596588816,-1.08089835948861,0.313586260273358,-3.44689323615893,0.000567072630678278,0.0148131504162858
"24427",9.0279303876841,2.00833955665777,0.439985295376379,4.56456062909959,5.00541533333543e-06,0.000430372037932172
"24430",56.6403534800822,-1.73730692983134,0.353560332888538,-4.91374955905767,8.93508720553198e-07,0.000132602462643688
"24885",84.2473752773775,-1.01412528596324,0.312147354337671,-3.24886715158954,0.00115865576482578,0.0225402360972409
"25193",479.350677882772,-0.86200219688163,0.269218804060286,-3.20186474303111,0.001365410932908,0.0250867167435081
